Text,Types
A man that regularly hangs around this neighborhood hit me forcibly on the rear. I yelled at him and walked away.,Touching /Groping
first violation was 2015 in my school when boy attack on me to touch my chest is strong than me soo i just go to the home and stay in silence i felt depression because my family close minded i dont say anything,Touching /Groping
no light,Poor / No Street Lighting
A boy kicked me on my buttocks.,Taking pictures
A group of boys commented on me.,Commenting
A man was taking my picture when I was in the park.,Taking pictures
A man was trying to click my picture when I was in the park.,Taking pictures
I saw some boys were stalking girls where there was no light.,Stalking
Some boys were commenting on me and my friends.,Commenting
A boy was stalking me in the park.,Stalking
"I went to a food joint with my friends in the evening. Outside, a man indecent exposed himself to me.",Indecent exposure
"I was too young to even realise that what was happening to was wrong. My elder cousin brother use to tell me that it's just a game and a part of playing house, and then he use to touch me the wrong way and grope me and assault me. It went on for months. Luckily, due to a family feud, my cousin left our house along with his family and I never had to see him again. It was only when I grew up that I realised that I was being molested for months by own cousin brother. I am from a well educated and a well to do family. Half my family is in defence and military. We live in the urban area in varanasi, and yet something like this happened to me and no one knows. I shudder to imagine what would have happened with me if my cousin had not moved out, because I know that, by the time I would have been able to understand the severity of it, things would have gone worse.",Touching /Groping
A boy was passing cheap comments.,Commenting
Some boys were whistling when I was in the park.,Catcalls/Whistles
A boy was whistling when I was sitting with my male friend in the park.,Catcalls/Whistles
"A boy clicked my pictures and later when I saw him clicking, asked him, he started to abuse me",Commenting
A group of boys commented on me and my friend and were trying to click our pictures.,Commenting
I saw a man staring at a college girl so intensely that I felt uncomfortable. He was literally scanning that girl.,Ogling/Facial Expressions/Staring
I saw a man staring at a college girl so intensely that I felt uncomfortable. He was literally scanning that girl.,Ogling/Facial Expressions/Staring
A man asked me to go on a drive with him,Commenting
An old age man asked me for having sex,Commenting
A middle aged man tried to touch my private part.,Touching /Groping
A boy was passing cheap comments on me.,Commenting
"When I was 10 years old, my friend\'s father molested me continuously for 1 month on the name of teaching.",Rape / Sexual Assault
A guy commented on me and my two friends.He said that come sit in my car and have fun with me tonight.,Commenting
A guy commented on me and my two friends.He said that come sit in my car and have fun with me tonight.,Commenting
Two men on motorcycle made kisisng sounds while me and my sister were going for a walk,Catcalls/Whistles
One boy stalked and commented on me,Commenting
"When I was going to market, two boys commented very vulgar words on me.",Commenting
A group of boys commented on me,Commenting
A group of boys commented on me,Commenting
A boy often asks me name and number on my way to school.,Commenting
Group of boys were trying to click pictures of me and my friends,Taking pictures
A group of boys commented on me and my friend,Commenting
A boy stalks  me and whistles,Catcalls/Whistles
"In the common compartment of a very crowded metro, an old man groped me.",Touching /Groping
"When I go for my tuition then a group of 4-5 boys stalks me, whistles at me. Sings vulgar songs, winks at me and many a times pull my duppata as well",Commenting
I was stalked and commented by two boys,Commenting
a middle age man was trying to take my picture in the park,Taking pictures
Chain snatching is common during day time.,Chain Snatching
I was going for my tuition classes. On my boy one boy stared me and my body in such a way that it made me very awkward and ashamed,Ogling/Facial Expressions/Staring
A boy was trying to click my picture.,Taking pictures
"A boy was stalking me, when I was in park with my friends.",Stalking
Man was showing his private part.,Indecent exposure
Boys ogle or stares every girl in such a way that it makes us uncomfortable. But we don't do anything,Ogling/Facial Expressions/Staring
A boy often stares me on my way to coaching but I never actually gave him notice. However many a times he comments as well.,Commenting
One boy catcalled me with few names like chhamakchallo and chhamiya,Catcalls/Whistles
I saw a guy commenting and making catcalls to two girls.,Catcalls/Whistles
Around fc road boys were looked with the bad intentions.They looked to her breasts many times. It feels very uncomfortable. It happens frequently.,Ogling/Facial Expressions/Staring
i was walking back home from the metro station and a boy flashed at me.,Indecent exposure
Boys were making sounds of moaning and were continuously starting on me and my friends,Commenting
A boy commented on my waist,Commenting
A group of men were staring at me and my friends in such a way that I felt so uncomfortable and was regretting why haven\'t I wore duppata,Ogling/Facial Expressions/Staring
An old age man try to touch my private body part,Touching /Groping
An old age man try to touch my private body part,Touching /Groping
Chain snatching is common in this area during 12 pm to 4 pm.,Chain Snatching
A man asked me to go with him and have fun.,Commenting
"When I was waiting in ticket line, one man intentionally touched me from back.",Touching /Groping
A boy commented on my body.,Commenting
A boy commented on my body.,Commenting
"A boy intentionally hit me on my chest and when I scolded him, he refused and started blaming me.",Touching /Groping
A boy commented on my body type and dress in such a absurd way that I felt humiliated and started crying,Commenting
"A boy abused me for no reason and when I asked, he started to shout",Commenting
A boy asked me for my number,Commenting
A boy commented on me and my friend,Commenting
"An old man on a scooter, standing at a junction and exposing himself to all passing by.",Indecent exposure
A group of boy was stalking me.,Stalking
A group of boys commented on me and my sister about what we wore,Commenting
"Two young boys tried to grab my sister when she went here for running at around 7 pm. This was in 2011. Since there was no one there, one boy grabbed her from behind and the other from the front. But she managed to break free and then shouted and started running towards them. TOok one of them to the police station and kept slapping him till the police asked her to stop/",Commenting
An old man started singing vulgar song staring at me continuously,Commenting
A middle aged man was showing me and my friend his private part,Indecent exposure
Group of boys were trying to take pictures of mine,Taking pictures
A man was touching his private parts while looking g at a girl.  And that made me really uncomfortable,Indecent exposure
I was returning from bank and ghee were two more girls.  Suddenly n auto passed and they spoke such vulgar words to those two girls.,Commenting
Often boys comment on girls. They throw their their numbers written on a paper,Commenting
Often boys comment on girls. They throw their their numbers written on a paper,Commenting
A group of boys abused me with vulgar words,Commenting
A boy commented on my dress,Commenting
A boy asked for my number and when I didn\'t replied anything then he started to stalk me,Commenting
My daughter was returning from her school.  A boy was just passing comments on her and stalking her.  However she just responded them back and threatened them to complain.,Stalking
"A young girl was buying something from the market. The market was crowded and it was evening time.  Suddenly a man came and pinched her from behind and held her butt. Till the time she could react,  he was gone.",Touching /Groping
when i was travelling from Mahabaleshwar to Bhekavali. i sat to the front side next to the jeep. the jeep was very crowded and there was a girl between me and the driver. i observed that the driver tries to touching on the breast of the girl.,Touching /Groping
i had block one boy after that he tried to hack my fb account but i could not able to do. but i was very scared.,Others
an old man in out village talks women using double meaning words. he give me sexual invited many times. and commented on my body parts,Sexual Invites
an old man in out village talks women using double meaning words. he give me sexual invited many times. and commented on my body parts,Sexual Invites
an old man in out village talks women using double meaning words. he give me sexual invited many times. and commented on my body parts,Sexual Invites
one or years ago when i was travelling through bus one drunken man started to touch the girls in the bus. i also became one of the victims. i started crying and after knowing the reason of my tears they started beating him.,Touching /Groping
one or years ago when i was travelling through bus one drunken man started to touch the girls in the bus. i also became one of the victims. i started crying and after knowing the reason of my tears they started beating him.,Touching /Groping
"Writing this on behalf of my wife..she is leaving in jaipur currently for her studies from Mahatma gandhi medical college in sitapura area in jaipur and stays in a hostel close the college B-312,sitapura residency colony near IIGJ institute and i work in bangalore in an IT COMPANY...so the incident came like after her dinner at around 8pm on 19th may, she and one of her friend in hostel went to buy  ice cream at a near by shop close to hostel(approx around 300metre) nd while coming back there was no light in middle and their comes these two guys on bike aged around 28-30..they slowed the speed of their bike nd touched my wife\'s friend from behind nd then tried to touch on front..nd then my wife shouted. These guys then ran off on their motorcycle, my wife nd her friend was shock aftr this...and today on insisting coz i could make out of her voice that something had happened, she told me the whole story.",Catcalls/Whistles
"I was alone in the Maurya Lok waiting for my friend. One of the guy came and was staring at me. When I asked him to stop. He just said can I have you number madam. You look too good. And when I told him that I will complain, he just flew from there.",Ogling/Facial Expressions/Staring
A boy was showing off his private parts,Indecent exposure
"One day me and my friend were walking home on bhandarkar road when a man while passing by on the bike looked at us and made signs of kissing and by hand., we ignored him and kept walking. He again returned and stood at the opposite side of the road staring at us.",Ogling/Facial Expressions/Staring
A man commented on my body type,Commenting
A man commented on my body type,Commenting
An old man started showing me his penis while I was waiting for my friend.,Indecent exposure
A boy was passing cheap comments on my friend,Commenting
"day there was a guy peeing in the corner of the dead-end, when he heard the dog bark at him, he quickly turned towards our direction and flashed. I hurriedly took my dog and went back home. While walking back I could hear him making crude comments.",Commenting
